Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
F-Auvergne-Rhone-Alpes;1041372;1064274;1076059;1086361;1089039;1107981;1132029;1144530;1168857;1199210;1232927;1272441;1295554;1315219;1319627;1330643;1342874;1369290;1402479;1408192;1402901;1413566;1418601;1421016;1435688;1441199;1449072;1459886;1477865;1485288
F-01-Ain;61364;63148;64616;65376;66038;67633;69753;71349;73958;76231;80563;84138;86297;86944;86760;87173;88088;89823;91240;90915;90012;91804;92231;92008;93499;93930;94744;95087;96274;96305
F-03-Allier;45376;45360;45977;46848;46713;47627;48721;49464;50238;50893;51662;53583;54169;54958;55546;55557;56414;57084;57800;57784;57413;57013;56334;55857;56161;55683;55017;54821;54494;53838
F-07-Ardeche;31369;32062;32448;33251;33808;34676;35435;35814;36724;37904;39671;40836;41379;42644;42761;43510;43762;45306;45283;45473;45823;45864;46043;45684;45676;45944;46308;46351;46500;46359
F-15-Cantal;16188;16485;17050;17440;18078;18466;18919;19163;19449;19935;20960;21510;21737;22917;23110;23265;23545;23881;23726;23874;23877;23982;23808;23613;23718;23841;23864;23916;23791;23830
F-26-Drome;61300;63369;63997;65107;64244;65177;67344;68087;69838;72365;74088;76570;78013;79176;80301;81076;81205;82688;85281;85942;86621;87728;88277;87909;88518;89249;89800;90773;92086;91948
F-38-Isere;157737;160249;162860;164523;165429;169494;174489;175922;179428;184156;188872;195171;198890;201722;204212;206009;206958;210780;216994;218172;217125;218838;219356;219509;221752;222739;222675;224384;225483;226415
F-42-Loire;105802;107284;108207;108800;109566;111054;112933;113287;115246;118489;122039;123504;125704;126240;124557;124977;126497;127798;130770;130534;129165;129594;128749;128240;128240;127890;127327;127656;128728;128314
F-43-Haute-Loire;24180;25140;26126;27140;27450;27551;27661;28277;28979;29237;30193;31298;31170;32053;31905;32096;32497;33028;33316;33319;33353;33333;33306;33010;33672;33862;33934;34038;33938;33810
F-63-Puy-de-Dome;91834;93857;94573;96530;96201;97098;98616;100002;101602;103406;105010;108203;109879;112794;113766;114177;113917;115180;116286;116774;115790;116447;116447;117989;119544;119828;119726;120072;120618;120782
F-69-Rhone;299291;306346;305577;305964;306556;310110;314825;317585;324161;331909;341542;351872;357875;361577;361741;364956;369631;379357;392008;395784;394785;397710;399703;402063;405924;408146;414029;419273;428103;434256
F-73-Savoie;57300;58745;61033;61290;60561;61125;62573;63072;64227;65802;66889;69561;72364;73474;74148;75767;76830;78657;80878;81836;81670;82412;83749;83550;85618;85990;86412;87325;88619;89686
F-74-Haute-Savoie;89631;92229;93595;94092;94395;97970;100760;102508;105007;108883;111438;116195;118077;120720;120820;122080;123530;125708;128897;127785;127267;128841;130598;131584;133366;134097;135236;136190;139231;139745
F-Bourgogne-Franche-Comte;382353;391152;397358;400599;402413;411154;418021;421518;429096;437980;447984;462036;465171;474758;479101;482358;483957;489962;495849;496330;491910;490005;492125;485788;486942;485386;485122;485969;488975;484691
F-21-Cote-d'Or;82148;84241;85781;86620;86761;88340;88256;88426;90516;92205;93703;96286;96720;98804;101176;101731;101926;103497;107445;107890;107897;106887;108090;106677;107634;107171;107236;107666;107835;107554
F-25-Doubs;73974;74077;74652;75736;76155;77991;80367;80766;81854;83986;86017;89896;91040;92708;92596;93272;94257;94768;96989;97726;95813;96293;96951;96243;96336;96564;96597;97319;97786;96872
F-39-Jura;35113;35967;36757;36731;37251;37779;39012;38930;39625;40497;41237;42048;42330;43057;42868;43485;43183;43599;43495;42793;42416;42960;43151;42677;42615;42689;42417;42665;43234;42636
F-58-Nievre;29074;29238;30008;30589;30285;31517;32347;32922;33352;33773;34691;36028;35911;36341;36699;36760;37033;37182;36473;36337;36034;35191;35249;34655;34468;34526;34108;34243;34301;33910
F-70-Haute-Saone;26329;28790;28355;28910;29194;29671;30210;30440;30922;31448;31641;32780;33075;34050;35027;35362;35676;35968;35585;35621;34945;34686;34579;33893;33865;33739;34054;34004;34019;33632
F-71-Saone-et-Loire;74156;75416;76802;76516;76421;77909;78475;79566;81250;83632;85577;87306;87764;90085;90808;91563;91849;93817;94318;94342;93774;93315;93304;92513;92900;92337;92398;92084;92046;91451
F-89-Yonne;42479;43977;45364;45501;45697;46791;47729;48447;49469;50018;51931;53527;53893;55357;55480;55709;56089;56795;56766;56889;56330;56041;56361;55383;55349;54831;54408;54367;54542;53934
F-90-TerritoiredeBelfort;19080;19446;19639;19996;20649;21156;21625;22021;22108;22421;23187;24165;24438;24356;24447;24476;23944;24336;24778;24732;24701;24632;24440;23747;23775;23529;23904;23621;25212;24702
F-Bretagne;373237;380525;388877;394268;408920;418148;428532;438300;451093;464017;482020;502807;506404;522989;529241;537405;543177;553690;563682;568486;570618;573550;576807;575253;578836;580572;584180;589264;599215;603349
F-22-Cotes-d'Armor;63039;63998;65991;67029;70533;71973;73960;74879;77073;79316;83630;86724;87732;89742;90115;91275;92580;94533;94808;95484;95377;94442;95445;95045;95115;95477;95625;95977;96875;97476
F-29-Finistere;107186;107747;109964;111620;115584;118292;122033;125618;129039;132457;136129;140130;140618;147252;148848;150171;151315;153095;154039;155192;155945;156544;157734;157071;157200;157097;157294;157839;159632;159903
F-35-Ille-et-Vilaine;125030;128855;131150;133010;137295;139896;142841;145540;150085;154769;162823;171483;172583;177057;179104;182568;184317;188465;194053;195195;197064;199914;201184;201400;204627;206796;209269;212595;217842;220193
F-56-Morbihan;77982;79925;81772;82609;85508;87987;89698;92263;94896;97475;99438;104470;105471;108938;111174;113391;114965;117597;120782;122615;122232;122650;122444;121737;121894;121202;121992;122853;124866;125777
F-Centre-ValdeLoire;353500;363417;368203;370785;373548;379035;386310;386498;393682;403103;409842;421051;426880;434375;435798;438448;441563;445979;455715;463105;460907;462032;459991;457227;455509;455840;455967;457460;460533;457412
F-18-Cher;42198;43360;43842;44516;44449;45071;46089;45546;46052;47339;47305;48167;48903;49857;50647;50883;51308;51759;52215;52205;51521;51254;50909;49963;49739;49433;49545;48962;48862;48408
F-28-Eure-et-Loir;56266;57609;58498;58523;58538;60155;61116;60541;61347;63176;64143;65751;65700;66042;66212;65859;66729;66945;69039;68715;68101;68967;68557;68128;67712;67924;68241;68472;68512;68331
F-36-Indre;31625;32353;32534;32777;33218;33610;34240;34062;34736;34986;35190;36240;36864;37551;37968;37600;37880;37861;38771;39913;39785;39486;39036;38726;38383;38190;37820;37798;38277;37793
F-37-Indre-et-Loire;84445;87372;88177;89013;89302;90258;92039;92079;93757;96038;97254;100110;100931;103223;103882;104921;106052;108182;110342;113321;113571;114321;114168;114028;113971;114336;114223;115190;116145;116000
F-41-Loir-et-Cher;42854;44028;44615;44543;45518;45881;46941;47115;48158;48721;50602;51921;53290;54388;54314;54967;55916;55973;56732;60007;60487;59670;59583;58878;58768;58840;58833;58806;59036;58526
F-45-Loiret;96112;98695;100537;101413;102523;104060;105885;107155;109632;112843;115348;118862;121192;123314;122775;124218;123678;125259;128616;128944;127442;128334;127738;127504;126936;127117;127305;128232;129701;128354
F-Corse;24760;25574;26860;28796;28558;29019;29381;30138;30822;32567;33025;34795;36499;38150;40076;40522;41893;42760;43565;45100;46272;47463;47549;48248;48995;49534;50007;51024;51454;52387
F-2A-Corse-du-Sud;13162;13618;14149;15656;14971;15000;15300;15813;16236;17054;17231;18127;19274;19698;20642;21036;21780;22250;22275;22990;24465;24914;24987;25441;25938;26252;26494;26852;27187;28071
F-2B-Haute-Corse;11598;11956;12711;13140;13587;14019;14081;14325;14586;15513;15794;16668;17225;18452;19434;19486;20113;20510;21290;22110;21807;22549;22562;22807;23057;23282;23513;24172;24267;24316
F-Grand-Est;762192;771038;784991;798041;800813;810558;823713;826651;841502;862094;881334;907865;919067;928486;931160;933902;937886;948058;969122;970894;963802;963815;963116;953431;953137;953871;951829;954022;961230;957762
F-08-Ardennes;35275;35670;35697;35558;35770;35991;36374;36129;36947;37719;39030;39373;40132;40129;39673;40072;39714;40403;40664;40573;40603;40783;40422;39603;40034;39983;39656;39214;39456;38879
F-10-Aube;46614;47212;46713;46740;46466;46456;46257;46757;47268;47682;49161;49971;50779;51582;50843;51275;50727;51497;51793;52521;52228;51470;51811;51402;51145;51167;50754;50462;51077;51265
F-51-Marne;85952;87072;88136;89542;88789;89087;91582;92318;94859;96418;99429;101663;103679;104500;104310;104956;105133;106956;108258;108457;107272;107694;107427;106628;106504;106503;106095;107663;108425;107999
F-52-Haute-Marne;28001;28526;28337;28285;28341;28615;29012;29241;29668;29802;29938;30572;30820;31254;30900;30716;30988;30950;32554;31943;31846;32065;32000;31110;31012;30904;30700;30530;30765;30220
F-54-Meurthe-et-Moselle;104274;104566;106917;108835;109132;109959;112350;112146;112806;115094;116587;118586;121532;122420;122535;122809;122520;123168;127471;128212;126124;125399;124831;123859;123704;123415;123191;123279;123273;122790
F-55-Meuse;23463;23891;24544;24910;25063;25273;25725;26084;26169;26544;26865;27730;27867;28217;27998;28398;28152;28339;28744;28768;28485;28252;27830;27679;27614;27654;27422;27102;27067;26737
F-57-Moselle;123159;124973;129702;132328;131096;133928;136896;137790;140832;145728;148102;154049;155526;157392;158148;159481;160456;162886;168892;168610;168445;168053;167929;165555;165122;164684;164829;165291;166368;164767
F-67-Bas-Rhin;161354;165282;167720;172599;174937;177755;180047;179982;183564;189448;194510;201449;203113;204106;206736;207675;210470;212719;215731;216038;214174;215961;217767;216914;217916;219576;219515;220440;222825;224178
F-68-Haut-Rhin;99281;99126;101344;102924;104981;107098;108492;109170;112095;115541;117919;123038;123629;126607;127530;126622;127408;128644;130913;132229;131373;130905;131125;129954;130060;130208;130158;130388;132074;131880
F-88-Vosges;54819;54720;55881;56320;56238;56396;56978;57034;57294;58118;59793;61434;61990;62279;62487;61898;62318;62496;64102;63543;63252;63233;61974;60727;60026;59777;59509;59653;59900;59047
F-Hauts-de-France;741550;753607;767440;776718;782142;796513;812975;820511;833074;850659;868282;891951;909128;921243;923699;927778;928505;950544;971888;974165;971155;972553;972952;966586;970610;974526;977656;985515;987831;984802
F-02-Aisne;67870;68670;69092;70795;70786;71268;71980;72240;72831;73973;74154;75451;76190;76772;77153;76710;77091;78684;80421;80031;78988;78207;77811;76914;76970;77229;77185;76819;76718;75707
F-59-Nord;353308;360895;364203;367363;369012;374215;383102;386189;392897;401816;411771;422647;429568;434817;433838;435544;432356;445226;457049;457522;456864;459418;460935;457848;459493;462233;464149;470752;472132;472586
F-60-Oise;96227;97224;99729;101213;101678;104072;105763;106476;108605;110323;112203;116044;118414;120176;119172;119539;120501;122573;125185;125106;124062;124539;124172;123344;123864;123598;123672;123300;123446;123126
F-62-Pas-de-Calais;147688;149803;155594;158499;160805;164974;168040;170560;172976;177059;181245;187455;192448;195673;200174;202500;204097;208910;210715;210896;212827;212799;212435;210883;212311;213768;214954;217181;218006;216942
F-80-Somme;76457;77015;78822;78848;79861;81984;84090;85046;85765;87488;88909;90354;92508;93805;93362;93485;94460;95151;98518;100610;98414;97590;97599;97597;97972;97698;97696;97463;97529;96441
F-Ile-de-France;2358042;2381423;2394382;2385616;2384803;2401601;2404928;2422456;2442768;2494837;2539828;2604014;2609103;2615456;2610984;2623668;2660843;2698158;2753899;2758645;2736349;2734051;2750041;2755181;2767940;2777775;2790020;2796589;2836801;2866420
F-75-Paris;966523;928973;920092;911713;905735;908732;897424;897603;895803;894383;907041;913183;919038;924491;910041;903280;908099;911839;925244;926893;918335;917848;921033;919823;919062;922655;925430;926437;942387;958742
F-77-Seine-et-Marne;134787;143355;148996;156754;157310;157285;160646;163775;167995;173451;180094;190346;191936;196205;195713;197507;201941;207284;211240;211334;209054;209638;209894;212847;213542;214573;214814;215618;219966;220059
F-78-Yvelines;214520;224130;225974;227769;232457;233992;236827;236529;240078;244908;252950;260162;238245;239703;245641;244875;248952;251903;255447;254416;250914;251057;252340;250787;254492;250592;250145;248240;250143;250964
F-91-Essonne;156649;163971;166752;166657;167017;169695;171918;174375;178191;183605;186727;196681;194520;192935;191213;194138;196151;200420;204557;205855;204474;203615;205163;205418;207083;207904;208587;208930;212009;212156
F-92-Hauts-de-Seine;359948;376170;383741;373916;372914;377812;379705;386996;388270;408347;409025;423703;433083;430914;436269;443452;451980;459495;477167;479656;478621;476992;481786;484190;487622;490444;495070;498345;506276;510980
F-93-Seine-Saint-Denis;191414;196889;195010;194091;192460;192455;193897;192858;199517;206966;213378;221594;226655;225912;225586;229020;233505;240479;248276;247650;247808;249563;250590;252792;256532;270289;273028;275749;279443;283689
F-94-Val-de-Marne;202893;209994;214016;213463;214451;215995;218484;220523;217751;221884;224414;226841;228767;227524;229317;233009;236692;241641;244431;245459;243206;241793;245138;249259;249775;250032;253024;253389;254955;255132
F-95-Val-d'Oise;131308;137941;139801;141253;142459;145635;146027;149797;155163;161293;166199;171504;176859;177772;177204;178387;183523;185097;187537;187382;183937;183545;184097;180065;179832;171286;169922;169881;171622;174698
F-Normandie;455861;464310;470714;477403;480341;486321;492067;495302;502190;512130;524689;542066;542399;556099;559598;560752;565633;574019;585288;587344;582873;579459;579070;575325;574913;575973;576743;577258;577080;576213
F-14-Calvados;94779;97111;98798;99720;102234;104564;105073;105534;106303;108406;112474;116590;117026;119424;120814;121389;122869;124716;127501;127773;127777;127290;127926;127242;127815;128227;128982;130071;130673;130815
F-27-Eure;71571;72406;72890;74512;73255;74520;75486;76600;78085;80277;82374;86354;86785;87854;88220;88786;88777;89232;91467;91399;89782;89425;88477;88186;88074;88491;88620;87802;87881;87714
F-50-Manche;59921;60951;61994;63974;63697;64463;66065;67103;68511;70436;70380;71960;72139;75341;77425;77691;78382;79778;81904;82150;82654;81301;82070;81971;81430;81322;81671;82471;82487;82618
F-61-Orne;44171;45268;45932;45609;46407;46895;47353;47289;47395;47621;49417;50546;49629;50673;50332;48883;49087;49240;49415;49108;49208;48792;47515;46854;46973;46793;46457;46429;46144;45676
F-76-Seine-Maritime;185419;188574;191100;193588;194748;195879;198090;198776;201896;205390;210044;216616;216820;222807;222807;224003;226518;231053;235001;236914;233452;232651;233082;231072;230621;231140;231013;230485;229895;229390
F-Nouvelle-Aquitaine;712241;728756;743642;757239;767621;781905;798588;810460;828626;850305;873582;903821;913186;938526;942374;953582;965969;989334;1007141;1017475;1017634;1015691;1020594;1021315;1030700;1033612;1037854;1043440;1056240;1061498
F-16-Charente;45355;46609;47245;48452;49823;50416;51021;51915;52842;53935;54238;55315;56224;57667;57317;58053;58246;59336;59703;59623;59447;59438;59519;59121;59251;59316;59569;59959;60790;60531
F-17-Charente-Maritime;60946;62383;64728;67112;68190;69818;72219;74799;77929;80529;81482;84118;86090;89113;91214;92156;93286;96188;98862;100546;100574;100671;100628;100507;101403;101577;101367;102231;103485;104021
F-19-Correze;31666;32549;33067;33678;34066;34179;34939;36393;36344;37105;38935;39914;40223;41673;41016;41899;43038;43439;43172;43312;42699;42469;41662;41724;41923;42170;41599;41903;41998;41569
F-23-Creuse;14409;14837;15222;15569;15337;15418;15775;15911;16479;16863;16919;17347;17751;18258;18462;18415;18514;18565;18564;18258;18160;17902;17854;17685;17340;17525;17487;17384;17298;17189
F-24-Dordogne;48172;49102;49829;50803;52303;53904;54922;55003;55443;56796;57453;58523;59358;60792;60340;61514;61935;62907;63766;63839;64075;63416;62778;62400;62618;62477;62468;62840;62886;62536
F-33-Gironde;197052;201491;204773;206663;208741;212443;216983;218791;224523;230661;235275;247550;248852;254739;257300;260262;264157;272254;278431;283046;285597;286725;289508;292607;298491;300478;303829;307945;315214;320646
F-40-Landes;41011;42158;42610;43581;44402;44453;44883;45417;46509;48106;49481;50836;50951;52989;54097;54720;56248;57625;59449;60114;60622;60440;61280;60707;61156;62019;62130;62543;62824;63024
F-47-Lot-et-Garonne;38986;39919;40723;41514;42488;43706;44820;45053;45973;46698;48455;49339;49929;51961;51690;52222;52535;53325;53657;53970;53901;53630;53919;54134;54954;54948;54764;55021;55501;55815
F-64-Pyrenees-Atlantiques;80695;82684;85187;86398;87207;88631;90258;91013;92984;95017;100071;102103;102842;106113;106133;107927;109684;112567;114330;115560;114964;115186;116331;116300;116814;117058;118177;118928;119959;119936
F-79-Deux-Sevres;44649;45761;47364;48949;50079;51231;53318;54635;55957;57432;59220;61991;62521;63724;63634;64809;65165;66948;67768;68398;69084;68732;69200;69198;69550;69444;69620;69337;69812;70438
F-86-Vienne;54168;55476;56895;58021;58334;60699;62110;63051;64557;66876;69597;72401;73703;75437;75040;75329;76277;77772;80983;81897;81066;80541;81429;81202;81679;81341;81599;80366;81753;81167
