Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
H-Auvergne-Rhone-Alpes;1354250;1364606;1345969;1319081;1299013;1321963;1339541;1344770;1368497;1401121;1427735;1471369;1483526;1481833;1481402;1480526;1485802;1497011;1504767;1474601;1447911;1463133;1466578;1467854;1475688;1474235;1479711;1494760;1520968;1537076
H-01-Ain;87353;88856;89044;88350;87199;88728;91687;92822;94927;97115;97479;101129;101604;100957;101742;101320;102244;102304;102318;99147;95310;96977;97562;97368;98383;97930;98603;99477;100978;101676
H-03-Allier;57149;56349;55459;55137;54053;55007;55612;56076;56783;58287;59489;60394;60459;60147;58769;58203;57201;57554;57198;55160;53851;53500;52686;52088;51793;51296;51174;51242;50987;50544
H-07-Ardeche;41390;41664;41257;40805;40627;41792;42136;42415;44274;44557;44965;47008;46546;46700;45982;46022;45201;45310;44991;43633;42774;43331;43027;42784;43164;43168;43392;43525;43688;43708
H-15-Cantal;20882;20712;20689;20837;20614;21184;21576;21719;21927;22624;22487;22651;23046;22844;22977;22868;22926;22833;23233;22765;22312;22684;22111;21981;22057;21897;21548;21683;21791;21809
H-26-Drome;87892;88158;87515;86064;83858;85898;86960;86753;88302;89768;92046;94762;95502;95414;95334;95335;95781;96717;96227;94585;93924;95701;95493;95575;95757;95093;94944;95713;97428;97865
H-38-Isere;207628;208014;206307;202221;198673;203470;207390;208630;212383;216945;220947;229794;230806;231790;232081;232189;234259;237140;237700;232530;228564;230139;229781;230248;231998;231676;231188;232657;234774;237626
H-42-Loire;135729;135179;131870;128356;126872;128237;130252;129552;131867;135270;135414;138061;137359;135567;135726;134281;136282;136935;135459;132120;128647;129424;128371;127595;126218;125187;124736;125080;126807;127091
H-43-Haute-Loire;30327;30363;30323;30761;30330;30940;31525;32069;32985;33635;33277;34381;34610;34247;33923;33870;33798;33888;34099;33248;32843;33344;33051;32778;32547;32709;32700;32870;33135;33129
H-63-Puy-de-Dome;115936;116521;113542;113148;113861;114061;114434;114989;118175;120855;122792;124820;126423;126255;126870;126054;125798;125606;126076;123233;120168;121345;122721;122869;123800;123751;123102;123668;124376;124772
