Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
France(horsMayotte);20375036;20623156;20694012;20603613;20512826;20820487;21070857;21171294;21479495;21982130;22588582;23279210;23583779;23760768;23722296;23808498;23982433;24293387;24638714;24477360;24248502;24300106;24366520;24296410;24374675;24386331;24488542;24682492;25005880;25159772
TotalDOM;335232;353870;358064;355618;361829;373303;385872;402268;396784;404485;422177;438643;452144;462509;465634;469996;481336;501385;510412;510666;507328;514807;520442;519294;524075;532529;541416;541539;546379;550802
971-Guadeloupe;77818;79527;80738;82415;84371;86942;88551;94403;95702;95878;97742;101853;103133;104578;105448;106586;107219;112094;111046;115850;116088;118040;117732;116810;115737;115342;116358;115568;116206;119304
972-Martinique;95688;94008;91893;95013;97548;99536;105416;109545;103669;105860;111602;113308;116059;117616;117775;119716;123274;127301;126945;127426;124298;125783;123154;121902;119640;120213;121836;120569;121067;123108
973-Guyane;26015;26488;26902;28118;28711;30248;32627;34136;35143;35499;37049;38743;39997;41055;40404;40346;42079;44080;45012;44185;45103;46863;48019;48826;49868;50943;51692;51101;51708;54247
974-LaReunion;135711;153847;158531;150072;151199;156577;159278;164184;162270;167248;175784;184739;192955;199260;202007;203348;208764;217910;227409;223205;221839;224121;231537;231756;238830;246031;251530;254301;257398;254143
Francemetropolitaine;20039804;20269286;20335948;20247995;20150997;20447184;20684985;20769026;21082711;21577645;22166405;22840567;23131635;23298259;23256662;23338502;23501097;23792002;24128302;23966694;23741174;23785299;23846078;23777116;23850600;23853802;23947126;24140953;24459501;24608970
Auvergne-Rhone-Alpes;2395622;2428880;2422028;2405442;2388052;2429944;2471570;2489300;2537354;2600331;2660662;2743810;2779080;2797052;2801029;2811169;2828676;2866301;2907246;2882793;2850812;2876699;2885179;2888870;2911376;2915434;2928783;2954646;2998833;3022364
01-Ain;148717;152004;153660;153726;153237;156361;161440;164171;168885;173346;178042;185267;187901;187901;188502;188493;190332;192127;193558;190062;185322;188781;189793;189376;191882;191860;193347;194564;197252;197981
03-Allier;102525;101709;101436;101985;100766;102634;104333;105540;107021;109180;111151;113977;114628;115105;114315;113760;113615;114638;114998;112944;111264;110513;109020;107945;107954;106979;106191;106063;105481;104382
