"";"Auvergne-Rhene-Alpes-Homme";"Grand-Est-Homme";"Hauts-de-France-Homme";"ele-de-France-Homme";"Auvergne-Rhene-Alpes-Femme";"Grand-Est-Femme";"Hauts-de-France-Femme";"ele-de-France-Femme"
"X2018.p.";340445;228614;221389;292285;143398;83584;66998;140732
"X2017.p.";337659;229484;223051;294159;142168;83853;67371;141249
"X2016";337026;231622;225448;294302;141484;84561;67964;141512
"X2015";339765;236322;230872;300033;141486;85364;68556;142882
"X2014";344218;241880;235399;305026;142239;87001;69327;144957
"X2013";346836;246694;240526;309381;142396;88164;70059;146902
"X2012";350604;253115;245297;314264;141931;90180;71301;149054
"X2011";353426;256779;250591;315321;143058;91305;71911;147337
"X2010";354075;259464;254508;320369;143032;92134;72526;150840
"X2009";361430;267979;263031;330993;147169;95915;75134;155891
"X2008";382920;283960;279460;342633;155917;102283;80109;161340
