"";"HommeNA38:TAZ-Agriculture";"HommeNA38:TBE-Industrie";"HommeNA38:TFZ-Construction";"HommeNA38:TGU-Tertiairemarchand";"HommeNA38:TOQ-Tertiairenonmarchand"
"X2018.p.";169747;2211210;1193522;6394706;2509773
"X2017.p.";170703;2204374;1169729;6318819;2513085
"X2016";168535;2206508;1145890;6148705;2514373
"X2015";170286;2231475;1154724;6005493;2497902
"X2014";167786;2260578;1189845;5898130;2501780
"X2013";166126;2288794;1233424;5868953;2496585
"X2012";162758;2319214;1258488;5831491;2472688
"X2011";160767;2338293;1275354;5858165;2462844
"X2010";158130;2350046;1285852;5807682;2470092
"X2009";161400;2406507;1303719;5685262;2485147
"X2008";163508;2525502;1342055;5709657;2491252
"X2007";176284;2580403;1335858;5846089;2515302
"X2006";183779;2601665;1279873;5684603;2612713
"X2005";188434;2646286;1226631;5613648;2602088
"X2004";193877;2704981;1184869;5555877;2599056
"X2003";195066;2775205;1163673;5523277;2590638
"X2002";192631;2843825;1153734;5550432;2606260
"X2001";192354;2901413;1155579;5517777;2594353
"X2000";201731;2908990;1133717;5433841;2527166
"X1999";210041;2853717;1087814;5202159;2496634
"X1998";203375;2839477;1052948;4975781;2449751
"X1997";196175;2831904;1044265;4792372;2396876
"X1996";186823;2832024;1053264;4641887;2390719
"X1995";181633;2870859;1097940;4578969;2390403
"X1994";174227;2857218;1114484;4510332;2369515
"X1993";171384;2869016;1109035;4382228;2341362
"X1992";170286;2997941;1168841;4390865;2317492
"X1991";168609;3115275;1224251;4428411;2276582
"X1990";162745;3193898;1248431;4435910;2239517
"X1989";162436;3197890;1242394;4395270;2215915
