"";"NA38:TAZ-Agriculture";"NA38:TBE-Industrie";"NA38:TFZ-Construction";"NA38:TGU-Tertiairemarchand";"NA38:TOQ-Tertiairenonmarchand"
"X2018.p.";240762;3105002;1349193;12082164;7831849
"X2017.p.";242032;3094187;1322207;11964390;7836685
"X2016";238996;3095842;1295104;11674357;7836654
"X2015";238764;3123779;1303210;11479219;7802154
"X2014";235193;3159226;1340532;11329136;7789715
"X2013";233705;3193554;1387027;11293218;7743096
"X2012";229178;3231683;1413213;11253763;7649279
"X2011";225602;3252758;1429717;11328443;7609558
"X2010";221317;3270035;1439364;11250732;7603851
"X2009";224872;3354146;1457887;11100422;7603847
"X2008";226779;3520705;1497653;11158537;7563020
"X2007";236298;3596749;1487906;11276405;7530944
"X2006";248468;3640228;1428090;11017496;7457720
"X2005";253494;3699232;1367208;10823494;7357669
"X2004";260258;3787195;1319358;10687193;7284498
"X2003";260913;3878412;1293939;10593614;7229784
"X2002";258278;3975941;1283075;10575376;7205589
"X2001";259892;4058182;1283060;10455315;7075186
"X2000";270655;4066189;1255438;10215979;7032306
"X1999";277555;3982696;1203727;9766585;6935842
"X1998";284929;3988439;1164303;9340845;6799129
"X1997";272515;3981640;1155376;8997901;6675279
"X1996";257912;3987446;1166374;8722993;6634301
"X1995";248792;4049954;1214664;8567861;6603714
"X1994";237098;4045187;1230374;8413057;6521468
"X1993";231508;4074093;1226260;8196859;6422277
"X1992";228447;4259756;1292012;8160942;6306838
"X1991";224177;4429732;1354167;8166472;6161400
"X1990";214799;4546352;1379486;8116441;6012208
"X1989";212438;4549924;1368521;7979497;5929424
